Course Code,Course Title
PH 201,"Introduction to Electrodynamics"
PH 202,"Introduction to Quantum Physics"
PH 203,"Solid State Physics"
PH 404,"Molecular and Crystal Physics"
PH 503,"Quantum Mechanics I"
PH 505,"Classical Electrodynamics"
PH 507,"Statistical Mechanics"
PH 508,"Classical Mechanics"
PH 509,"Computational Physics"
PH 510,"Condensed Matter Physics"
CH 203,"Fundamentals and Applications of Spectroscopy"
CH 204,"Organic Chemistry in Everyday Life"
CH 302,"Electrochemical Science and Engineering"
CH 401,"Food Chemistry"
CH 511,"Quantum Chemistry"
CG 503,"Fundamentals of Cognitive Psychology"
CG 505,"Fundamental Neuroscience"
EH 303,"Introduction to Earth Sciences"
EH 304,"Drone Data Acquisition Processing and Interpretation"
EH 601,"Earth Surface Processes"
EH 602,"River Morphology and Ecology"
EH 605,"Modeling of Earth System and Sustainability"
EH 608,"Biodiversity Conservation and Sustainable Development"
EH 611,"Near Surface Geophysics"
EH 612,"Ocean and Global Change"
EH 619,"Geobiology"
